grupo;feature;qtd_movimentos;qtd_laterais;media_movimentos;mediana_movimentos;media_lateral;mediana_lateral;diferenca;cohen_d;cohen_d_abs;ks_stat;ks_pvalue;mann_whitney_pvalue;direcao;dna_forte_estatistico
QUEDA;pre_60_0s_spread_mediana;86;471;1,1729651162790697;1,25;1,40552016985138;1,5;-0,2325550535723102;-1,08384962593006;1,08384962593006;0,44813114106552115;9,008862661463912e-14;8,033431274470146e-15;MENOR_NO_IMPULSO;True
QUEDA;pre_10_0s_spread_pct_acima_1_5;86;434;0,26407357875614984;0,0878964489021415;0,5355278613634871;0,5278637770897833;-0,2714542826073372;-1,073585003837695;1,073585003837695;0,5030543350123245;3,28529501045268e-17;6,333237662227531e-14;MENOR_NO_IMPULSO;True
QUEDA;pre_15_0s_spread_min;86;458;0,3691860465116279;0,25;0,6921397379912664;0,75;-0,3229536914796385;-1,0613620385853744;1,0613620385853744;0,5229511526353203;8,341400123737806e-19;1,3480527843630142e-18;MENOR_NO_IMPULSO;True
QUEDA;pre_15_0s_spread_mediana;86;458;1,1511627906976745;1,125;1,4047489082969433;1,5;-0,25358611759926886;-1,0453520862384438;1,0453520862384438;0,44541484716157204;1,5422823954030483e-13;1,1648187252153812e-14;MENOR_NO_IMPULSO;True
QUEDA;pre_30_0s_spread_medio;86;470;1,136797884137212;1,1245671704646485;1,3494142631976216;1,34068480861244;-0,21261637906040964;-1,0405652799365521;1,0405652799365521;0,48154379020286986;6,337401041602786e-16;3,918040136767443e-12;MENOR_NO_IMPULSO;True
QUEDA;pre_60_0s_spread_medio;86;471;1,1455815837620436;1,1227884062140392;1,3468084924909647;1,3440366972477065;-0,20122690872892113;-1,032527497483041;1,032527497483041;0,5070853700686319;1,0674045385828122e-17;1,489271211605447e-12;MENOR_NO_IMPULSO;True
QUEDA;pre_30_10s_spread_min;84;464;0,3601190476190476;0,25;0,6460129310344828;0,75;-0,28589388341543515;-1,01769552090502;1,01769552090502;0,5561371100164203;5,494339102170011e-21;2,923513772343794e-17;MENOR_NO_IMPULSO;True
QUEDA;pre_15_0s_spread_medio;86;458;1,1271028507961949;1,0825047348484849;1,3494455069003561;1,3423295454545454;-0,22234265610416126;-0,9913184016892009;0,9913184016892009;0,4685691073423377;5,250236231724478e-15;8,129411680010431e-12;MENOR_NO_IMPULSO;True
QUEDA;pre_5_0s_spread_pct_acima_1_5;86;347;0,26313435318684664;0,0760019550342131;0,5323925254233671;0,5;-0,2692581722365205;-0,946985432026052;0,946985432026052;0,5066684538569801;8,93556952729318e-17;1,540854797585082e-12;MENOR_NO_IMPULSO;True
QUEDA;pre_10_0s_spread_mediana;86;434;1,1468023255813953;1,0;1,3991935483870968;1,5;-0,2523912228057015;-0,942348872889471;0,942348872889471;0,44030650519772807;4,0486702425232306e-13;8,929035381691076e-14;MENOR_NO_IMPULSO;True
QUEDA;pre_10_0s_spread_medio;86;434;1,1225328264580237;1,0856318466353678;1,3486723498405784;1,3323643410852712;-0,22613952338255472;-0,9381129738352896;0,9381129738352896;0,47749437359339836;1,8349358918694258e-15;1,4398569376406894e-11;MENOR_NO_IMPULSO;True
QUEDA;pre_5_0s_spread_medio;86;347;1,1135887252412298;1,0549242424242424;1,3472762197441672;1,3186274509803921;-0,23368749450293747;-0,8775296338695917;0,8775296338695917;0,46025735540513374;8,415979612749019e-14;7,0783073548303786e-12;MENOR_NO_IMPULSO;True
QUEDA;pre_30_0s_spread_min;86;470;0,32558139534883723;0,25;0,5484042553191489;0,5;-0,2228228599703117;-0,8625608839955248;0,8625608839955248;0,4979218208807521;4,839190101394085e-17;2,926189329095314e-15;MENOR_NO_IMPULSO;True
