escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,1284,10,6,16,1.246106,1.862197,0.803213,62.5,37.5,1.494413,0.644578,1.058985,0.820099,FRACA,39.561
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,672,10,6,16,2.380952,3.412969,1.583113,62.5,37.5,1.433447,0.664908,1.829856,0.755279,FRACA,38.5957
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_CAIU,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021
LADO,,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,1123,11,7,18,1.60285,2.340426,1.071975,61.111111,38.888889,1.460165,0.668794,1.26845,0.768878,FRACA,37.8701
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,419,6,4,10,2.386635,3.75,1.544402,60.0,40.0,1.57125,0.647104,2.205598,0.870753,FRACA,37.8244
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,419,6,4,10,2.386635,3.75,1.544402,60.0,40.0,1.57125,0.647104,2.205598,0.870753,FRACA,37.8244
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,2,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_CAIU,419,6,4,10,2.386635,3.75,1.544402,60.0,40.0,1.57125,0.647104,2.205598,0.870753,FRACA,37.8244
