"Arquivo","Tamanho_MB","LastWriteTime","FullName"
"diagnostico_reprovados_modulo12.csv","0,01","24/07/2026 13:52:30","C:\Nas100_dashboard\C7_LAB_BASE_V1\output\diagnostico_reprovados_modulo12.csv"
"ranking_final_modulo12.csv","0,01","24/07/2026 13:52:30","C:\Nas100_dashboard\C7_LAB_BASE_V1\output\ranking_final_modulo12.csv"
"ranking_final_modulo12.csv","0,01","24/07/2026 13:52:30","C:\Nas100_dashboard\C7_LAB\output\ranking_final_modulo12.csv"
"candidatos_aprovados_modulo11.csv","0","24/07/2026 13:29:58","C:\Nas100_dashboard\C7_LAB_BASE_V1\output\candidatos_aprovados_modulo11.csv"
"candidatos_aprovados_modulo11.csv","0","24/07/2026 13:29:58","C:\Nas100_dashboard\C7_LAB\output\candidatos_aprovados_modulo11.csv"
"validacao_modulo11.csv","0,01","24/07/2026 13:29:58","C:\Nas100_dashboard\C7_LAB\output\validacao_modulo11.csv"
"validacao_modulo11.csv","0,01","24/07/2026 13:29:58","C:\Nas100_dashboard\C7_LAB_BASE_V1\output\validacao_modulo11.csv"
"candidatos_modulo11.csv","0,01","24/07/2026 13:09:28","C:\Nas100_dashboard\C7_LAB\output\candidatos_modulo11.csv"
"candidatos_modulo11.csv","0,01","24/07/2026 13:09:28","C:\Nas100_dashboard\C7_LAB_BASE_V1\output\candidatos_modulo11.csv"
"melhores_otimizados_modulo10.csv","0","24/07/2026 13:09:28","C:\Nas100_dashboard\C7_LAB\output\melhores_otimizados_modulo10.csv"
"melhores_otimizados_modulo10.csv","0","24/07/2026 13:09:28","C:\Nas100_dashboard\C7_LAB_BASE_V1\output\melhores_otimizados_modulo10.csv"
"top_otimizacao_modulo10.csv","0,34","24/07/2026 13:09:28","C:\Nas100_dashboard\C7_LAB\output\top_otimizacao_modulo10.csv"
"top_otimizacao_modulo10.csv","0,34","24/07/2026 13:09:28","C:\Nas100_dashboard\C7_LAB_BASE_V1\output\top_otimizacao_modulo10.csv"
