motivo;quantidade;percentual
delta30 insuficiente 12.0 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto | score 71 < 72;2;0,02
delta30 insuficiente 3.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto | score 71 < 72;2;0,02
delta30 insuficiente -1.0 | saldo30 insuficiente 0.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
sem rompimento confirmado -6.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;2;0,02
delta30 insuficiente -20.0 | saldo30 insuficiente -21.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -6.00 | sem continuidade -1.50 | hard-gate DNA incompleto;2;0,02
vel15 insuficiente -0.0000 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -8.0 | saldo30 insuficiente -9.0 | sem continuidade 0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 6.0 | saldo30 insuficiente 5.0 | sem continuidade 0.00 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -1.50 | hard-gate DNA incompleto | score 65 < 72;2;0,02
sem rompimento confirmado -3.25 | sem continuidade -1.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 6.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto;2;0,02
vel15 insuficiente -0.0000 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 3.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto | score 70 < 72;2;0,02
sem rompimento confirmado -3.00 | sem continuidade -0.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -5.0 | saldo30 insuficiente -4.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
delta30 insuficiente 16.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | score 63 < 72;2;0,02
sem rompimento confirmado -2.25 | sem continuidade -1.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 0.0 | saldo30 insuficiente 1.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
delta30 insuficiente 8.0 | saldo30 insuficiente 7.0 | hard-gate DNA incompleto | score 67 < 72;2;0,02
delta30 insuficiente 10.0 | saldo30 insuficiente 5.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 6.0 | saldo30 insuficiente 5.0 | sem continuidade -0.00 | hard-gate DNA incompleto | score 63 < 72;2;0,02
sem rompimento confirmado -1.50 | sem continuidade -2.25 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -11.00 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -1.50 | sem continuidade -1.75 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -8.00 | hard-gate DNA incompleto | score 70 < 72;2;0,02
delta30 insuficiente -3.0 | saldo30 insuficiente -5.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -1.75 | sem continuidade -0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -10.0 | saldo30 insuficiente -9.0 | hard-gate DNA incompleto | score 67 < 72;2;0,02
delta30 insuficiente 2.0 | saldo30 insuficiente 3.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | score 64 < 72;2;0,02
sem rompimento confirmado -3.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;2;0,02
delta30 insuficiente 13.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto | score 71 < 72;2;0,02
aceleração insuficiente -0.0570 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 6.0 | saldo30 insuficiente 7.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
sem rompimento confirmado -1.25 | sem continuidade -1.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 4.0 | saldo30 insuficiente 3.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -14.0 | saldo30 insuficiente -15.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 18.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -41.0 | saldo30 insuficiente -42.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 2.0 | saldo30 insuficiente 3.0 | sem continuidade -0.00 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -4.50 | sem continuidade -3.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 7.0 | saldo30 insuficiente 6.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 66 < 72;2;0,02
sem rompimento confirmado -3.25 | sem continuidade -2.75 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -3.00 | sem continuidade -0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -1.0 | saldo30 insuficiente -0.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -2.00 | sem continuidade -0.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -1.0 | saldo30 insuficiente -2.0 | hard-gate DNA incompleto | score 65 < 72;2;0,02
delta30 insuficiente 18.0 | sem continuidade 0.00 | hard-gate DNA incompleto;2;0,02
aceleração insuficiente -0.3777 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 19.0 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 0.0 | saldo30 insuficiente 0.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -9.0 | saldo30 insuficiente -13.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 18.0 | sem continuidade -0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 11.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 8.0 | saldo30 insuficiente 9.0 | hard-gate DNA incompleto | score 67 < 72;2;0,02
sem rompimento confirmado -3.50 | sem continuidade -2.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -18.0 | saldo30 insuficiente -17.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 11.0 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -3.50 | sem continuidade -3.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 8.0 | saldo30 insuficiente 7.0 | hard-gate DNA incompleto | score 70 < 72;2;0,02
sem rompimento confirmado -4.00 | sem continuidade -2.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 5.0 | saldo30 insuficiente 3.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 11.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto | score 63 < 72;2;0,02
vel15 insuficiente -0.0336 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 17.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -9.0 | saldo30 insuficiente -8.0 | sem continuidade -0.00 | hard-gate DNA incompleto | score 67 < 72;2;0,02
sem rompimento confirmado -4.25 | sem continuidade -1.50 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -4.00 | sem continuidade -3.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 1.0 | saldo30 insuficiente 0.0 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 62 < 72;2;0,02
delta30 insuficiente 12.0 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 4.0 | saldo30 insuficiente -0.0 | hard-gate DNA incompleto | score 71 < 72;2;0,02
delta30 insuficiente 7.0 | saldo30 insuficiente 6.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
sem rompimento confirmado -2.50 | sem continuidade -1.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -12.0 | saldo30 insuficiente -10.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -3.00 | sem continuidade -1.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 13.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -2.75 | sem continuidade 0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 12.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto | score 63 < 72;2;0,02
sem rompimento confirmado -5.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;2;0,02
delta30 insuficiente -16.0 | saldo30 insuficiente -17.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto | score 62 < 72;2;0,02
sem rompimento confirmado -0.75 | sem continuidade -1.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 5.0 | saldo30 insuficiente 6.0 | hard-gate DNA incompleto | score 67 < 72;2;0,02
sem rompimento confirmado 0.00 | hard-gate DNA incompleto | score 68 < 72;2;0,02
delta30 insuficiente 7.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -7.0 | saldo30 insuficiente -8.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
delta30 insuficiente -1.0 | saldo30 insuficiente -2.0 | hard-gate DNA incompleto | score 71 < 72;2;0,02
delta30 insuficiente 12.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 4.0 | saldo30 insuficiente 4.0 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;2;0,02
delta30 insuficiente 4.0 | saldo30 insuficiente 3.0 | sem continuidade 0.00 | hard-gate DNA incompleto | score 67 < 72;2;0,02
sem rompimento confirmado -0.25 | sem continuidade -1.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 14.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -23.0 | saldo30 insuficiente -24.0 | hard-gate DNA incompleto | lados próximos: diferença 9 | score 63 < 72;2;0,02
delta30 insuficiente 15.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 67 < 72;2;0,02
delta30 insuficiente -6.0 | saldo30 insuficiente -5.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
delta30 insuficiente -16.0 | saldo30 insuficiente -17.0 | hard-gate DNA incompleto | score 68 < 72;2;0,02
vel15 insuficiente -0.0000 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -4.25 | sem continuidade -1.75 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -7.00 | hard-gate DNA incompleto | score 70 < 72;2;0,02
delta30 insuficiente 7.0 | saldo30 insuficiente 8.0 | hard-gate DNA incompleto | score 67 < 72;2;0,02
delta30 insuficiente 7.0 | saldo30 insuficiente 9.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -4.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;2;0,02
sem rompimento confirmado -3.25 | sem continuidade -0.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 1.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto | score 66 < 72;2;0,02
sem rompimento confirmado -1.75 | sem continuidade -0.00 | hard-gate DNA incompleto | score 67 < 72;2;0,02
delta30 insuficiente 17.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -2.75 | sem continuidade -0.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 17.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto | score 71 < 72;2;0,02
delta30 insuficiente 7.0 | saldo30 insuficiente 4.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -3.50 | hard-gate DNA incompleto | score 65 < 72;2;0,02
delta30 insuficiente 13.0 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto | score 64 < 72;2;0,02
delta30 insuficiente -1.0 | saldo30 insuficiente -2.0 | hard-gate DNA incompleto | score 69 < 72;2;0,02
delta30 insuficiente 6.0 | saldo30 insuficiente 4.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -4.75 | hard-gate DNA incompleto | score 70 < 72;2;0,02
delta30 insuficiente -8.0 | saldo30 insuficiente -8.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 12.0 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -0.75 | sem continuidade -1.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -1.0 | saldo30 insuficiente -2.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
delta30 insuficiente 14.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 5.0 | saldo30 insuficiente 6.0 | hard-gate DNA incompleto | score 68 < 72;2;0,02
delta30 insuficiente -5.0 | saldo30 insuficiente -2.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 4.0 | saldo30 insuficiente 3.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto | score 66 < 72;2;0,02
delta30 insuficiente 13.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -9.0 | saldo30 insuficiente -10.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
delta30 insuficiente 9.0 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;2;0,02
sem continuidade -1.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -1.0 | saldo30 insuficiente -2.0 | hard-gate DNA incompleto | score 68 < 72;2;0,02
sem rompimento confirmado -1.00 | sem continuidade 0.00 | hard-gate DNA incompleto | score 64 < 72;2;0,02
delta30 insuficiente -16.0 | saldo30 insuficiente -16.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 1.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto | score 68 < 72;2;0,02
delta30 insuficiente 4.0 | saldo30 insuficiente 5.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 67 < 72;2;0,02
delta30 insuficiente 19.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -0.50 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK;2;0,02
sem rompimento confirmado -2.50 | sem continuidade -2.25 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -1.00 | sem continuidade -1.25 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -0.25 | hard-gate DNA incompleto | score 70 < 72;2;0,02
sem rompimento confirmado -25.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;2;0,02
aceleração insuficiente -0.2744 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -4.75 | sem continuidade -4.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 2.0 | saldo30 insuficiente 1.0 | hard-gate DNA incompleto | score 68 < 72;2;0,02
sem rompimento confirmado -8.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;2;0,02
vel15 insuficiente -0.0334 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 14.0 | sem continuidade -0.50 | hard-gate DNA incompleto;2;0,02
vel15 insuficiente -0.3667 | sem rompimento confirmado -6.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 18.0 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -22.0 | saldo30 insuficiente -21.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -1.50 | sem continuidade -0.50 | hard-gate DNA incompleto | score 68 < 72;2;0,02
sem rompimento confirmado -4.00 | sem continuidade -4.00 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -4.25 | sem continuidade -1.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -22.0 | saldo30 insuficiente -23.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -0.25 | sem continuidade -0.75 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 10.0 | sem continuidade 0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 16.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -5.0 | saldo30 insuficiente -6.0 | hard-gate DNA incompleto | score 68 < 72;2;0,02
sem rompimento confirmado -3.75 | sem continuidade -3.75 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 70 < 72;2;0,02
delta30 insuficiente 13.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 69 < 72;2;0,02
delta30 insuficiente -8.0 | saldo30 insuficiente -9.0 | hard-gate DNA incompleto | score 71 < 72;2;0,02
sem rompimento confirmado -4.00 | hard-gate DNA incompleto | score 70 < 72;2;0,02
delta30 insuficiente -4.0 | saldo30 insuficiente -4.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 10.0 | sem continuidade -0.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -2.0 | saldo30 insuficiente 6.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 6.0 | saldo30 insuficiente 7.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 71 < 72;2;0,02
delta30 insuficiente -2.0 | saldo30 insuficiente -4.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 12.0 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 19.0 | sem continuidade 0.00 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -12.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;2;0,02
sem rompimento confirmado -2.00 | sem continuidade -2.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -53.0 | saldo30 insuficiente -54.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -0.75 | hard-gate DNA incompleto | score 70 < 72;2;0,02
sem rompimento confirmado -19.75 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -2.75 | sem continuidade -1.25 | hard-gate DNA incompleto;2;0,02
vel15 insuficiente -0.0336 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 19.0 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 17.0 | sem rompimento confirmado -3.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 6.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -10.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -14.0 | saldo30 insuficiente -40.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -12.0 | saldo30 insuficiente -32.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 6.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -25.0 | saldo30 insuficiente -26.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -3.00 | sem continuidade -2.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 3.0 | saldo30 insuficiente 5.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -4.0 | saldo30 insuficiente 0.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 0.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -0.75 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK;2;0,02
delta30 insuficiente 4.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 10.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 18.0 | aceleração insuficiente -1.0016 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -0.0970 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -3.00 | sem continuidade 0.00 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -1.4379 | sem rompimento confirmado -2.50 | sem continuidade -0.75 | hard-gate DNA incompleto | score 69 < 72;1;0,01
aceleração insuficiente -2.8117 | sem rompimento confirmado -9.75 | sem continuidade -0.00 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -0.9424 | sem rompimento confirmado -5.50 | sem continuidade -2.75 | hard-gate DNA incompleto | score 69 < 72;1;0,01
delta30 insuficiente 13.0 | saldo30 insuficiente 9.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto | score 65 < 72;1;0,01
vel15 insuficiente -0.1699 | sem rompimento confirmado -5.75 | sem continuidade -0.00 | hard-gate DNA incompleto | score 64 < 72;1;0,01
saldo30 insuficiente 7.0 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0622 | sem rompimento confirmado 0.00 | sem continuidade 0.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.4754 | sem rompimento confirmado -4.25 | sem continuidade -2.50 | hard-gate DNA incompleto | score 69 < 72;1;0,01
aceleração insuficiente -0.7634 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
sem rompimento confirmado -4.50 | sem continuidade -0.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 63 < 72;1;0,01
delta30 insuficiente 10.0 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
delta30 insuficiente -6.0 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -1.5269 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 7.0 | saldo30 insuficiente 7.0 | sem continuidade -1.50 | hard-gate DNA incompleto | score 67 < 72;1;0,01
